Symbol,Company Name,Security Name,Market Category,Test Issue,Financial Status,Round Lot Size
FBIZ,"First Business Financial Services, Inc.","First Business Financial Services, Inc. - Common Stock",Q,N,N,100
FBMS,"The First Bancshares, Inc.","The First Bancshares, Inc. - Common Stock",G,N,N,100
FBNC,First Bancorp,First Bancorp - Common Stock,Q,N,N,100
FBNK,"First Connecticut Bancorp, Inc.","First Connecticut Bancorp, Inc. - Common Stock",Q,N,N,100
FBRC,FBR & Co,FBR & Co - Common Stock,Q,N,N,100
FBSS,"Fauquier Bankshares, Inc.","Fauquier Bankshares, Inc. - Common Stock",S,N,N,100
FCAP,"First Capital, Inc.","First Capital, Inc. - Common Stock",S,N,N,100
FCBC,"First Community Bancshares, Inc.","First Community Bancshares, Inc. - Common Stock",Q,N,N,100
FCCO,First Community Corporation,First Community Corporation - Common Stock,S,N,N,100
FCCY,1st Constitution Bancorp (NJ),1st Constitution Bancorp (NJ) - Common Stock,G,N,N,100
FCEL,"FuelCell Energy, Inc.","FuelCell Energy, Inc. - Common Stock",G,N,N,100
FCFS,"First Cash Financial Services, Inc.","First Cash Financial Services, Inc. - Common Stock",Q,N,N,100
FCHI,iShares FTSE China (HK Listed) Index Fund,iShares FTSE China (HK Listed) Index Fund,G,N,N,100
FCLF,First Clover Leaf Financial Corp.,First Clover Leaf Financial Corp. - Common Stock,S,N,N,100
FCNCA,"First Citizens BancShares, Inc.","First Citizens BancShares, Inc. - Class A Common Stock",Q,N,N,100
FCS,"Fairchild Semiconductor International, Inc.","Fairchild Semiconductor International, Inc. - Common Stock",Q,N,N,100
FCSC,Fibrocell Science Inc,Fibrocell Science Inc - Common Stock,S,N,N,100
FCTY,"1st Century Bancshares, Inc","1st Century Bancshares, Inc - Common Stock",S,N,N,100
FCVA,"First Capital Bancorp, Inc. (VA)","First Capital Bancorp, Inc. (VA) - Common Stock",S,N,N,100
FCZA,First Citizens Banc Corp.,First Citizens Banc Corp. - Common Stock,S,N,N,100
FCZAP,First Citizens Banc Corp.,"First Citizens Banc Corp. - Depositary Shares Each Representing a 1/40th Interest in a 6.50% Noncumulative Redeemable Convertible Perpetual Preferred Share, Series B",S,N,N,100
FDEF,First Defiance Financial Corp.,First Defiance Financial Corp. - Common Stock,Q,N,N,100
FDIV,First Trust Strategic Income ETF,First Trust Strategic Income ETF,G,N,N,100
FDML,Federal,Federal-Mogul Holdings Corporation - Class A Common Stock,Q,N,N,100
FDUS,Fidus Investment Corporation,Fidus Investment Corporation - Common Stock,Q,N,N,100
FEIC,FEI Company,FEI Company - Common Stock,Q,N,N,100
FEIM,"Frequency Electronics, Inc.","Frequency Electronics, Inc. - Common Stock",G,N,N,100
FELE,"Franklin Electric Co., Inc.","Franklin Electric Co., Inc. - Common Stock",Q,N,N,100
FEMB,First Trust Emerging Markets Local Currency Bond ETF,First Trust Emerging Markets Local Currency Bond ETF,G,N,N,100
FES,Forbes Energy Services Ltd,Forbes Energy Services Ltd - Ordinary shares (Bermuda),G,N,N,100
FEUZ,First Trust Eurozone AlphaDEX ETF,First Trust Eurozone AlphaDEX ETF,G,N,N,100
FEYE,"FireEye, Inc.","FireEye, Inc. - Common Stock",Q,N,N,100
FFBC,First Financial Bancorp.,First Financial Bancorp. - Common Stock,Q,N,N,100
FFBCW,First Financial Bancorp.,First Financial Bancorp. - Warrant 12/23/2018,Q,N,N,100
FFHL,"Fuwei Films (Holdings) Co., Ltd.","Fuwei Films (Holdings) Co., Ltd. - ORDINARY SHARES",G,N,D,100
FFIC,Flushing Financial Corporation,Flushing Financial Corporation - Common Stock,Q,N,N,100
FFIN,"First Financial Bankshares, Inc.","First Financial Bankshares, Inc. - Common Stock",Q,N,N,100
FFIV,"F5 Networks, Inc.","F5 Networks, Inc. - Common Stock",Q,N,N,100
FFKT,Farmers Capital Bank Corporation,Farmers Capital Bank Corporation - Common Stock,Q,N,N,100
FFNM,"First Federal of Northern Michigan Bancorp, Inc.","First Federal of Northern Michigan Bancorp, Inc. - Common Stock",S,N,N,100
FFNW,"First Financial Northwest, Inc.","First Financial Northwest, Inc. - Common Stock",Q,N,N,100
FFWM,First Foundation Inc.,First Foundation Inc. - Common Stock,G,N,N,100
FGEN,"FibroGen, Inc","FibroGen, Inc - Common Stock",Q,N,N,100
FHCO,Female Health Company (The),Female Health Company (The) - Common Stock,S,N,N,100
FIBK,"First Interstate BancSystem, Inc.","First Interstate BancSystem, Inc. - Class A Common Stock",Q,N,N,100
FINL,"The Finish Line, Inc.","The Finish Line, Inc. - Class A Common Stock",Q,N,N,100
FISH,"Marlin Midstream Partners, LP","Marlin Midstream Partners, LP - Common Units representing Limited Partner Interests.",G,N,N,100
FISI,"Financial Institutions, Inc.","Financial Institutions, Inc. - Common Stock",Q,N,N,100
FISV,"Fiserv, Inc.","Fiserv, Inc. - Common Stock",Q,N,N,100
FITB,Fifth Third Bancorp,Fifth Third Bancorp - Common Stock,Q,N,N,100
FITBI,Fifth Third Bancorp,Fifth Third Bancorp - Depositary Share repstg 1/1000th Ownership Interest Perp Pfd Series I,Q,N,N,100
FIVE,"Five Below, Inc.","Five Below, Inc. - Common Stock",Q,N,N,100
FIVN,"Five9, Inc.","Five9, Inc. - Common Stock",G,N,N,100
FIZZ,National Beverage Corp.,National Beverage Corp. - Common Stock,Q,N,N,100
FLAT,Barclays PLC,Barclays PLC - iPath US Treasury Flattener ETN,G,N,N,100
FLDM,Fluidigm Corporation,Fluidigm Corporation - Common Stock,Q,N,N,100
FLEX,Flextronics International Ltd.,Flextronics International Ltd. - Ordinary Shares,Q,N,N,100
FLIC,The First of Long Island Corporation,The First of Long Island Corporation - Common Stock,S,N,N,100
FLIR,"FLIR Systems, Inc.","FLIR Systems, Inc. - Common Stock",Q,N,N,100
FLL,"Full House Resorts, Inc.","Full House Resorts, Inc. - Common Stock",S,N,N,100
FLML,Flamel Technologies S.A.,Flamel Technologies S.A. - American Depositary Shares each representing one Ordinary Share,G,N,N,100
FLWS,1,"1-800 FLOWERS.COM, Inc. - Class A Common Stock",Q,N,N,100
FLXN,"Flexion Therapeutics, Inc.","Flexion Therapeutics, Inc. - Common Stock",G,N,N,100
FLXS,"Flexsteel Industries, Inc.","Flexsteel Industries, Inc. - Common Stock",Q,N,N,100
FMB,First Trust Managed Municipal ETF,First Trust Managed Municipal ETF,G,N,N,100
FMBH,First Mid,"First Mid-Illinois Bancshares, Inc. - Common Stock",G,N,N,100
FMBI,"First Midwest Bancorp, Inc.","First Midwest Bancorp, Inc. - Common Stock",Q,N,N,100
FMER,FirstMerit Corporation,FirstMerit Corporation - Common Stock,Q,N,N,100
FMI,"Foundation Medicine, Inc.","Foundation Medicine, Inc. - Common Stock",Q,N,N,100
FMNB,Farmers National Banc Corp.,Farmers National Banc Corp. - Common Stock,S,N,N,100
FNBC,First NBC Bank Holding Company,First NBC Bank Holding Company - Common Stock,Q,N,N,100
FNFG,First Niagara Financial Group Inc.,First Niagara Financial Group Inc. - Common Stock,Q,N,N,100
FNGN,"Financial Engines, Inc.","Financial Engines, Inc. - Common Stock",Q,N,N,100
FNHC,Federated National Holding Company,Federated National Holding Company - Common Stock,G,N,N,100
FNJN,"Finjan Holdings, Inc.","Finjan Holdings, Inc. - Common Stock",S,N,N,100
FNLC,"First Bancorp, Inc (ME)","First Bancorp, Inc (ME) - Common Stock",Q,N,N,100
FNRG,ForceField Energy Inc.,ForceField Energy Inc. - Common Stock,S,N,N,100
FNSR,Finisar Corporation,Finisar Corporation - Common Stock,Q,N,N,100
FOLD,"Amicus Therapeutics, Inc.","Amicus Therapeutics, Inc. - Common Stock",G,N,N,100
FOMX,Foamix Pharmaceuticals Ltd.,Foamix Pharmaceuticals Ltd. - Ordinary Shares,G,N,N,100
FONE,First Trust NASDAQ CEA Smartphone Index Fund,First Trust NASDAQ CEA Smartphone Index Fund,G,N,N,100
FONR,Fonar Corporation,Fonar Corporation - Common Stock,S,N,N,100
FORD,"Forward Industries, Inc.","Forward Industries, Inc. - Common Stock",S,N,N,100
FORM,"FormFactor, Inc.","FormFactor, Inc. - Common Stock",Q,N,N,100
FORR,"Forrester Research, Inc.","Forrester Research, Inc. - Common Stock",Q,N,N,100
FORTY,Formula Systems (1985) Ltd.,Formula Systems (1985) Ltd. - ADS represents 1 ordinary shares,Q,N,N,100
FOSL,"Fossil Group, Inc.","Fossil Group, Inc. - Common Stock",Q,N,N,100
FOX,Twenty,"Twenty-First Century Fox, Inc. - Class B Common Stock",Q,N,N,100
FOXA,Twenty,"Twenty-First Century Fox, Inc. - Class A Common Stock",Q,N,N,100
FOXF,Fox Factory Holding Corp.,Fox Factory Holding Corp. - Common Stock,Q,N,N,100
FPRX,"Five Prime Therapeutics, Inc.","Five Prime Therapeutics, Inc. - Common Stock",Q,N,N,100
FPXI,First Trust International IPO ETF,First Trust International IPO ETF,G,N,N,100
FRAN,Francesca's Holdings Corporation,Francesca's Holdings Corporation - Common Stock,Q,N,N,100
FRBA,First Bank,First Bank - Common Stock,G,N,N,100
FRBK,"Republic First Bancorp, Inc.","Republic First Bancorp, Inc. - Common Stock",G,N,N,100
FRED,"Fred's, Inc.","Fred's, Inc. - Common Stock",Q,N,N,100
FREE,FreeSeas Inc.,FreeSeas Inc. - Common Stock,S,N,D,100
